,X30,X90,X180,X360,X720,X1080,X1800,X2520,X3600
26.12.2011,10.646,10.7936,10.8639,10.7579,10.4708,10.2415,9.894,9.6395,9.3286
27.12.2011,10.7889,10.9778,11.0824,10.9926,10.6883,10.4344,10.0802,9.8657,9.6514
28.12.2011,10.6636,11.0339,11.2916,11.2635,10.9594,10.7022,10.3014,9.9994,9.6204
29.12.2011,10.6758,10.8346,10.9764,11.0544,10.957,10.7596,10.329,9.9115,9.3051
30.12.2011,10.6165,10.7937,10.9993,11.2256,11.2191,10.976,10.432,9.9528,9.3118
2.01.2012,10.409,10.9542,11.3904,11.5679,11.28,10.8626,10.2522,9.9707,9.8397
3.01.2012,11.0685,11.4683,11.7457,11.7557,11.4219,11.0612,10.4596,9.9972,9.4251
4.01.2012,11.2411,11.5568,11.7708,11.7331,11.3804,11.0248,10.4097,9.9051,9.2415
5.01.2012,11.5336,11.836,11.9962,11.8423,11.3927,11.0217,10.4094,9.8989,9.2166
6.01.2012,11.2145,11.6571,11.9316,11.8612,11.4493,11.0765,10.4381,9.8922,9.1451
9.01.2012,11.9536,12.001,11.9962,11.8245,11.4078,11.0509,10.4391,9.908,9.1721
10.01.2012,11.5931,11.7428,11.8435,11.7669,11.3955,11.0386,10.3998,9.8232,9.0083
11.01.2012,11.4058,11.4596,11.5081,11.503,11.2696,10.9445,10.3133,9.7569,8.9964
12.01.2012,11.1762,11.2133,11.2361,11.1972,11.0058,10.7706,10.2576,9.7189,8.9017
13.01.2012,10.7791,10.9269,11.0607,11.1168,10.9662,10.7397,10.2464,9.7436,8.9898
16.01.2012,10.8834,10.9614,11.0159,10.9888,10.8367,10.6668,10.2275,9.6782,8.763
17.01.2012,10.7656,10.8828,10.9768,10.9899,10.9052,10.7949,10.3934,9.7859,8.707
18.01.2012,10.728,10.7882,10.8141,10.7323,10.5684,10.4558,10.1513,9.7212,8.9673
19.01.2012,10.8236,10.7275,10.6265,10.5269,10.4201,10.3098,10.0422,9.7243,9.214
20.01.2012,10.8866,10.7885,10.6922,10.6121,10.5456,10.4605,10.1878,9.808,9.1565
23.01.2012,10.6895,10.6383,10.5646,10.4438,10.3722,10.3598,10.1648,9.7378,8.9047
24.01.2012,10.4956,10.5062,10.5095,10.4946,10.4749,10.4372,10.2108,9.8142,9.0777
25.01.2012,10.4346,10.5422,10.6017,10.5137,10.3521,10.3,10.1944,10.0113,9.6215
26.01.2012,10.0823,10.0457,9.9646,9.7869,9.6638,9.6966,9.7711,9.7539,9.5882
27.01.2012,9.5649,9.5704,9.5662,9.5441,9.5624,9.6213,9.7083,9.7281,9.6689
30.01.2012,9.8174,9.8424,9.813,9.6601,9.5462,9.6046,9.7467,9.8071,9.7659
31.01.2012,9.8693,9.8273,9.7445,9.5794,9.4832,9.5436,9.6944,9.7812,9.8051
1.02.2012,9.9439,9.8192,9.6691,9.4752,9.4072,9.4963,9.6775,9.7636,9.7488
2.02.2012,9.7325,9.677,9.6013,9.4937,9.4751,9.5583,9.7161,9.7966,9.8031
3.02.2012,9.3701,9.357,9.3393,9.3223,9.3714,9.4607,9.6162,9.7162,9.7908
6.02.2012,9.6206,9.6744,9.6674,9.5286,9.4371,9.5204,9.7099,9.8149,9.8384
7.02.2012,9.6044,9.5663,9.5143,9.4414,9.4291,9.4897,9.6179,9.7104,9.7912
8.02.2012,9.2901,9.4198,9.5038,9.4706,9.3889,9.3943,9.4656,9.5562,9.6966
9.02.2012,9.2024,9.3528,9.4665,9.4831,9.4524,9.4722,9.5356,9.5929,9.659
10.02.2012,8.823,9.072,9.304,9.4507,9.5115,9.5538,9.6223,9.6754,9.7364
13.02.2012,8.8967,9.0151,9.119,9.1981,9.3018,9.411,9.5726,9.6546,9.6787
14.02.2012,8.819,8.9509,9.0865,9.2258,9.3676,9.4626,9.5841,9.6466,9.6748
15.02.2012,8.9412,9.049,9.1709,9.3171,9.4422,9.4936,9.557,9.6132,9.6986
16.02.2012,8.7858,9.0448,9.2717,9.4031,9.43,9.4411,9.4788,9.5407,9.6606
17.02.2012,8.5262,8.8564,9.1461,9.285,9.2936,9.3112,9.3709,9.4488,9.5808
20.02.2012,8.8623,8.9513,9.0339,9.1079,9.1907,9.2617,9.3721,9.4476,9.5199
21.02.2012,8.6883,8.7517,8.8293,8.9413,9.0888,9.1937,9.3424,9.4408,9.5329
22.02.2012,8.8529,8.8218,8.8281,8.9225,9.0622,9.1345,9.2429,9.3466,9.5075
23.02.2012,8.4542,8.6296,8.8078,8.9836,9.1213,9.1915,9.2959,9.393,9.5382
24.02.2012,8.2279,8.568,8.8968,9.1441,9.2558,9.2873,9.348,9.4487,9.6565
27.02.2012,8.6148,8.9616,9.2482,9.4025,9.4116,9.4026,9.4338,9.532,9.7578
28.02.2012,8.6249,8.8999,9.135,9.2629,9.2679,9.2562,9.29,9.4021,9.6639
29.02.2012,8.5277,8.6616,8.83,9.0605,9.2158,9.2244,9.2323,9.3161,9.5533
1.03.2012,8.6045,8.846,9.0658,9.201,9.2478,9.2633,9.3237,9.4363,9.6716
2.03.2012,8.4424,8.7151,8.9618,9.1665,9.2718,9.2979,9.3539,9.4597,9.6888
5.03.2012,8.4708,8.7906,9.0623,9.2202,9.2836,9.3265,9.4299,9.5626,9.7996
6.03.2012,8.5648,8.8776,9.1575,9.3516,9.4323,9.4528,9.5077,9.6114,9.8335
7.03.2012,8.4983,8.8386,9.1441,9.3338,9.4159,9.4609,9.5473,9.645,9.808
8.03.2012,8.5321,8.6952,8.8781,9.0783,9.2518,9.3161,9.4041,9.509,9.7012
9.03.2012,8.411,8.7514,9.0168,9.1575,9.2272,9.3056,9.4513,9.5657,9.6927
12.03.2012,8.7004,8.9604,9.1841,9.3276,9.402,9.4469,9.5342,9.6302,9.7859
13.03.2012,8.5908,8.9282,9.2029,9.3432,9.3917,9.439,9.5404,9.6406,9.7833
14.03.2012,8.8651,9.1066,9.3213,9.4569,9.5252,9.5664,9.6467,9.7353,9.8731
15.03.2012,8.7307,8.9972,9.231,9.3709,9.4443,9.4913,9.5841,9.6843,9.8412
16.03.2012,8.3193,8.6977,9.02,9.2648,9.4148,9.4814,9.5796,9.6785,9.8347
19.03.2012,8.8724,9.0959,9.2876,9.4154,9.4889,9.5322,9.6176,9.7145,9.8725
20.03.2012,8.9426,9.192,9.412,9.5691,9.6405,9.6524,9.6827,9.7551,9.9196
21.03.2012,9.1403,9.2735,9.4062,9.5209,9.5981,9.6265,9.6781,9.7529,9.8973
22.03.2012,9.586,9.6744,9.7526,9.7927,9.7664,9.7203,9.6817,9.7226,9.8758
23.03.2012,9.0626,9.4625,9.7535,9.8472,9.7622,9.6874,9.6229,9.6525,9.8028
26.03.2012,9.8191,9.8086,9.7782,9.7051,9.6048,9.5566,9.5436,9.6024,9.7624
27.03.2012,9.6285,9.7153,9.7642,9.6939,9.5304,9.4913,9.5206,9.5963,9.7365
